URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://ahip.org/demographics/ValueSet/ahip-disability,0.1.0,draft,,AHIPDisability,AHIP Disability,"Based on our own list of disabilities","Questionnaire/AHIPDemoQuestionnaire","Other"
http://ahip.org/demographics/ValueSet/ahip-interpreter-modes,0.1.0,draft,,AHIPInterpreterModes,AHIP Interpreter Modes,"Interpreter Modes","Questionnaire/AHIPDemoQuestionnaire","Other"
http://ahip.org/demographics/ValueSet/ahip-military-service-period,0.1.0,draft,,AHIPMilitaryPeriod,AHIP US Military Service Period Codes,"AHIP US Military Service Period Codes","Questionnaire/AHIPDemoQuestionnaire","Other"
http://ahip.org/demographics/ValueSet/ahip-outreach-mode,0.1.0,draft,,AHIPOutreachMode,AHIP Outreach Modes,"Outreach Modes","Questionnaire/AHIPDemoQuestionnaire","Other"
http://ahip.org/demographics/ValueSet/ahip-preferred-pronouns,0.1.0,draft,,AHIPPreferredPronouns,AHIP Preferred Pronouns,"Based on LOINC","Questionnaire/AHIPDemoQuestionnaire","THO (V3),LOINC,Other"
http://ahip.org/demographics/ValueSet/ahip-race-category,0.1.0,draft,,AHIPRaceCategories,AHIP Race Categories,"Based on OMB Categories but adding Hispanic/Latino for consistency","Questionnaire/AHIPDemoQuestionnaire","THO (V3),hl7.terminology.r4,Other"
http://ahip.org/demographics/ValueSet/ahip-reading-language-prereferences,0.1.0,draft,,AHIPReadingLanguagePreferences,AHIP Reading Language Preferences,"Based on IETF 3066 Language Codes","Questionnaire/AHIPDemoQuestionnaire","THO (V3),Other"
http://ahip.org/demographics/ValueSet/ahip-relationship-status,0.1.0,draft,,AHIPRelationshipStatus,AHIP Relationship Status,"Based on HL7 Marital Status Value Set","Questionnaire/AHIPDemoQuestionnaire","THO (V3),Other"
http://ahip.org/demographics/ValueSet/ahip-religion-christian-detail,0.1.0,draft,,AHIPReligionChristianDetail,AHIP Christian Religion Detail Value Set,"AHIP Christian Religion Detail Codes","Questionnaire/AHIPDemoQuestionnaire","THO (V3),Other"
http://ahip.org/demographics/ValueSet/ahip-religion-jewish-detail,0.1.0,draft,,AHIPReligionJewishDetail,AHIP Jewish Religion Detail Value Set,"AHIP Jewish Religion Detail Codes","Questionnaire/AHIPDemoQuestionnaire","Other"
http://ahip.org/demographics/ValueSet/ahip-religion-spirituality,0.1.0,draft,,AHIPReligionSpirituality,AHIP Religion/Spirituality Value Set,"Based on HL7 Religion Value Set","Questionnaire/AHIPDemoQuestionnaire","THO (V3),Other"
http://ahip.org/demographics/ValueSet/ahip-sexual-orientation,0.1.0,draft,,AHIPSexualOrientation,AHIP Sexual Orientation,"Based on SNOMED CT and US Core Orientation Value Set","Questionnaire/AHIPDemoQuestionnaire","THO (V3),SCT,Other"
http://ahip.org/demographics/ValueSet/ahip-speaking-language-prereferences,0.1.0,draft,,AHIPSpeakingLanguagePreferences,AHIP Speaking Language Preferences,"Based on IETF 3066 Language Codes","Questionnaire/AHIPDemoQuestionnaire","THO (V3),Other"
http://ahip.org/demographics/ValueSet/ahip-yes-no,0.1.0,draft,,AHIPDemoYesNo,AHIP Yes or No Answer,"Based on LOINC Codes","Questionnaire/AHIPDemoQuestionnaire","THO (V3),LOINC,Other"
http://ahip.org/demographics/ValueSet/ahip-yes-no-plain,0.1.0,draft,,AHIPDemoYesNoPlain,AHIP Yes or No Answer,"Based on LOINC Codes","Questionnaire/AHIPDemoQuestionnaire","LOINC,Other"
